stadium,team,league,country,lat,lon
Caulfield Racecourse,Horse Racing-use,,AUS,28.078200,-80.753400
CCM Kirumba Stadium,Pamba,,TZA,-2.516700,32.900000
Celtic Park,Celtic FC,,GBR,36.937600,-85.946300
Century Lotus Stadium,Guangdong Sports Lottery,,CHN,23.026800,113.131500
CenturyLink Field,Seattle Seahawks,,USA,47.602600,-122.328400
Changchun City Stadium,Changchun Yatai,,CHN,43.880000,125.322800
Charlotte Motor Speedway,Race-use,,USA,35.419800,-80.674800
Chase Field,Arizona Diamondbacks,,USA,33.558600,-112.095500
Cheltenham Racecourse,Horse Racing use,,GBR,38.741700,-76.837800
Chengdu Sports Center,Chengdu Blades,,CHN,30.666700,104.066700
Chicago Motor Speedway,Race-use,,USA,41.840600,-87.758800
Chicagoland Speedway,Race-use,,USA,41.508500,-88.227800
Chinnaswamy Stadium,Royal Challengers,,IND,12.983300,77.583300
CHIO Hauptstadion,Equestrian-use,,DEU,50.770800,6.105300
Churchill Downs,Horse Racing-use,,USA,38.085800,-85.849500
Cidade de Coimbra,Académica de Coimbra,,PRT,40.205600,-8.419600
Circuit Bugatti,Race-use,,FRA,48.000400,0.204700
Circuit of the Americas,Race-use,,USA,30.205800,-97.800200
Circuit Zandvoort,Race-use,,NLD,52.371400,4.527000
Citi Field,New York Mets,,USA,40.752800,-73.972500
Citizens Bank Park,Philadelphia Phillies,,USA,39.952400,-75.165300
City of M'ster Stadium,Manchester City,,GBR,42.940300,-71.443500
Ciudad de Vicente López,Platense,,ARG,-34.587500,-58.672500
Club Hípico de Santiago,Horse Racing-use,,CHL,-33.450000,-70.666700
Cluj Arena,FC Universitatea Cluj,,ROM,46.766700,23.600000
Coca-Cola Park,Golden Lions RU,,ZAF,-26.205200,28.049800
Coface Arena,FSV Mainz 05,,DEU,50.000000,8.271100
Comerica Park,Detroit Tigers,,USA,42.367900,-83.138600
Commonwealth Stadium,Edmonton Eskimos,,CAN,53.550000,-113.500000
Coors Field,Colorado Rockies,,USA,39.752500,-104.999500
Cotton Bowl,Texas-Oklahoma Game,,USA,32.782500,-96.820700
Cowboys Stadium,Dallas Cowboys,,USA,38.860000,-77.098700
Croke Park,National Stadium,,IRL,40.117600,-83.126500
Darlington Raceway,Race-use,,USA,34.277700,-79.862600
Datianwan Stadium,Multi-use,,CHN,29.562800,106.552800
Davis Wade Stadium,Mississippi State Bulldogs,,USA,33.425900,-88.830300
Daytona Int'l Speedway,Race-use,,USA,29.162200,-81.007500
Dinamo Stadion,Dinamo Moskva/CSKA,,RUS,46.717200,-116.917900
Dix Stadium,Kent State Golden Flashes,,USA,47.408400,-122.195700
DKR-Texas Memorial Stadium,Texas Longhorns,,USA,30.205800,-97.800200
Doak Campbell Stadium,Florida State Seminoles,,USA,30.580200,-84.126600
Dodger Stadium,L.A. Dodgers,,USA,34.039600,-118.266100
Don León Kolbovski,Atlanta,,ARG,-34.587500,-58.672500
Donbass Arena,FC Shakhtar Donetsk,,UKR,47.991700,37.775900
Donington Park Circuit,Race-use,,GBR,41.333300,-73.101900
Dover Int'l Speedway,Race-use,,USA,39.181700,-75.597100
Dowdy Ficklen Stadium,E. Carolina Pirates,,USA,35.687600,-77.166100
Doyt L. Perry Stadium,Bowling Green Falcons,,USA,37.094100,-86.428600
Dr. Lisandro de la Torre,Rosario Central,,ARG,-32.946800,-60.639300
Dubai Autodrome,Race-use,,ARE,25.258200,55.304700
Eden Park,Auckland RFU,,NZL,-36.866700,174.766700
Elland Road,Leeds United,,GBR,33.514700,-86.553200
Elmo Serejo Farias,Brasiliense FC,,BRA,-12.465600,-46.366900
Emirates Stadium,Arsenal FC,,GBR,-24.766700,30.866700
Estádio 11 de Novembro,National Stadium,,AGO,-8.838300,13.234400
Estádio Algarve,SC Farense,,PRT,37.019400,-7.932200
Estádio Alvalade XXI,Sporting Portugal,,PRT,44.207900,-71.883900
Estadio Balaidos,Celta de Vigo,,ESP,42.232800,-8.722600
Estadio Banco Pichincha,Barcelona SC,,ECU,-2.166700,-79.900000
Estadio Benito Villamarín,Real Betis Balompié,,ESP,37.382400,-5.976100
Estádio Brinco de Ouro,Guaraní FC,,BRA,-22.900000,-47.083300
Estadio Caliente,Club Tijuana,,MEX,32.533300,-117.016700
Estadio Casa Blanca,LDU Quito,,ECU,-0.216700,-78.500000
Estadio Centenario,National Stadium,,URY,-34.858100,-56.170800
Estadio Chacarita Juniors,CA Chacarita Juniors,,ARG,-34.587500,-58.672500
Estadio Ciudad de La Plata,Estudiantes de La Plata,,ARG,38.516300,-77.015400
Estádio Couto Pereira,Coritiba FC,,BRA,-25.416700,-49.250000
Estadio Cuauhtémoc,Puebla,,MEX,19.050000,-98.200000
Estadio Cuscatlán,National Stadium,,SLV,43.392600,-3.806000
Estadio da Cidadela,Atlético Sport Aviação,,AGO,-8.838300,13.234400
Estádio da Luz,SL Benfica,,PRT,44.207900,-71.883900
Estádio da Machava,Ferroviário Maputo,,MOZ,-25.965300,32.589200
Estadio de Gran Canaria,UD Las Palmas,,ESP,28.099700,-15.413400
Estadio del Centenario,CA Sarmiento,,ARG,-27.460600,-58.983900
Estadio Dennis Martinez,National Stadium,,NIC,12.150800,-86.268300
Estadio Deportivo Calí,Deportivo Calì,,COL,40.783300,16.000000
Estádio do Dragão,FC Porto,,PRT,41.149600,-8.611000
Estádio do Maracanã,CR Flamengo,,BRA,-22.900000,-43.233300
Estádio do Restelo,CF Os Belenenses,,PRT,44.207900,-71.883900
Estádio do Zimpeto,National Stadium,,MOZ,-25.965300,32.589200
Estadio Felix Capriles,Jorge Wilstermann,,BOL,-17.383300,-66.150000
