stadium,team,league,country,lat,lon
Notre Dame Stadium,Notre Dame Fighting Irish,,USA,41.683400,-86.250000
Nottingham City Ground,Nottingham Forest,,GBR,39.389200,-76.492000
O.co Coliseum,Oakland Raiders,,USA,35.219900,-89.499600
Ohene Djan Stadium,National Stadium,,GHA,5.550000,-0.216700
Ohio Stadium,Ohio State Buckeyes,,USA,39.892800,-82.958800
Old Trafford,Manchester United,,GBR,42.940300,-71.443500
Olímpic Lluís Companys,Multi-use,,ESP,41.398400,2.174100
Olímpico Atahualpa,National Stadium,,ECU,-0.216700,-78.500000
Olímpico João Havelange,Botafogo FR,,BRA,-22.900000,-43.233300
Olimpico Metropolitano,CD Marathon,,HND,15.500000,-88.033300
Olímpico Monumental,Football-use,,BRA,-30.033300,-51.200000
Olympiastadion,Hertha BSC,,DEU,44.433800,-71.270700
Olympic Center Stadium,Tianjin Songjiang,,CHN,39.142200,117.176700
Olympic Sports Center,Jiangsu Guoxin Sainty FC,,CHN,32.061700,118.777800
Olympic Sports Centre,Chongqing FC,,CHN,29.562800,106.552800
Olympic Stadium,Multi-use,,GBR,-24.766700,30.866700
Oriole Park at Camden Yards,Baltimore Orioles,,USA,39.290400,-76.612200
Orlando Stadium,Moroka Swallows,,ZAF,28.588300,-81.243900
Osaka Dome,Orix Buffaloes,,JPN,34.686400,135.520000
Oscar Alfredo Galvez,Race-use,,ARG,-34.587500,-58.672500
Oulton Park,Race-use,,GBR,53.150000,-2.666700
Páirc Uí Chaoimh,Cork County,,IRL,51.898600,-8.495800
Paju Public Stadium,Multi-use,,KOR,60.783300,22.683300
Panathenaic Stadium,Multi-use,,GRC,42.282300,-73.829400
Parc des Princes,Paris Saint-Germain,,FRA,38.213300,-84.225600
Parque Independencia,Newell's Old Boys,,ARG,-32.946800,-60.639300
Paul Brown Stadium,Cincinnati Bengals,,USA,39.166800,-84.538200
Pearse Stadium,Galway County,,IRL,53.271900,-9.048900
Pendleton Round-Up,Rodeo-use,,USA,45.735400,-118.797700
Peoples Football Stadium,HBL FC,,PAK,24.905600,67.082200
Perak Stadium,Perak FA,,MYS,4.584100,101.082900
PETCO Park,San Diego Padres,,USA,32.901400,-117.207900
PGE Arena Gdansk,Lechia Gdansk,,POL,54.360800,18.658300
Phakisa Freeway,Race-use,,ZAF,-27.986400,26.706600
Philip II Arena,National Stadium,,MKD,42.000000,21.433300
Philips Stadion,PSV,,NLD,51.450000,5.466700
Phoenix Int'l Raceway,Race-use,,USA,33.558600,-112.095500
Pikes Peak Int'l Raceway,Race-use,,USA,35.694200,-77.629400
Pimlico Race Course,Horse-Racing use,,USA,39.290400,-76.612200
PJ Cardinal Stadium,Louisville Cardinals,,USA,38.085800,-85.849500
Plovdiv Stadion,Multi-use,,BGR,42.150000,24.750000
PNC Park,Pittsburgh Pirates,,USA,40.449500,-79.988000
Pocono Raceway,Race-use,,USA,41.060500,-75.461600
Pontiac Silverdome,Football-use,,USA,42.644000,-83.279600
Portland Int'l Raceway,Race-use,,USA,45.469100,-122.553500
Portman Road,Ipswich Town,,GBR,42.682500,-70.847000
Premadasa Stadium,National Stadium,,LKA,6.931900,79.847800
Presidente Perón,Racing Club,,ARG,-29.117600,-59.658300
Pride Park,Derby County,,GBR,41.333300,-73.101900
Prince Mohamed bin Fahd,Al Ittifaq,,SAU,26.434400,50.103300
Princes Park,Multi-use,,AUS,28.078200,-80.753400
Progressive Field,Cleveland Indians,,USA,41.437900,-81.536600
Qualcomm Stadium,San Diego Chargers,,USA,32.901400,-117.207900
Queensland Centre,Athletics-use,,AUS,37.686100,-122.410700
Rajamangala Stadium,National Stadium,,THA,13.754000,100.501400
Rajiv Gandhi Stadium,Deccan Chargers,,IND,17.375300,78.474400
Ralph Wilson Stadium,Buffalo Bills,,USA,42.744200,-78.744200
Ramón Sánchez Pizjuán,Sevilla FC,,ESP,37.382400,-5.976100
Ramón Tahuichi Aguilera,Blooming Santa Cruz,,BOL,37.044800,-122.102100
Rangers Ballpark,Texas Rangers,,USA,38.860000,-77.098700
Ranji Stadium,Kolkata Knight Riders,,IND,22.569700,88.369700
Raymond James Stadium,Tampa Bay Buccaneers,,USA,27.943000,-82.524000
Razorback Stadium,Arkansas Razorbacks,,USA,35.078500,-78.933600
Red Bull Arena,Red Bull Salzburg,,AUT,47.800000,13.033300
Reliant Stadium,Houston Texans,,USA,29.868800,-95.538000
Rentschler Field,UConn Huskies,,USA,41.777600,-72.621400
Republikan Spartak,FK Alania Vladikavkaz,,RUS,43.036700,44.667800
Reser Stadium,Oregon State Beavers,,USA,44.469800,-123.343000
rewirpowerSTADION,VfL Bochum,,DEU,51.483300,7.216700
RFK Memorial Stadium,DC United,,USA,38.874900,-77.032500
Riau Main Stadium,Football-use,,IDN,0.533300,101.450000
Rice Stadium,Rice Owls,,USA,29.868800,-95.538000
Rice-Eccles Stadium,Utah Utes,,USA,40.760800,-111.891100
Richmond Int'l Raceway,Race-use,,USA,37.585800,-77.488800
Ricoh Arena,Coventry City FC,,GBR,41.693300,-71.639500
Riverside Stadium,Middlesbrough FC,,GBR,54.572800,-1.162800
Roberts Stadium,S. Miss Golden Eagles,,USA,31.262200,-89.272300
Rockingham Speedway,Race-use,,GBR,52.483300,-0.666700
Rockingham_Speedway,Race-use,,USA,34.930200,-79.767000
Rogers Centre,Toronto Argonauts,,CAN,40.490300,-80.670900
Rose Bowl Stadium,UCLA Bruins,,USA,34.137900,-118.129600
Route de Lorient,Stade Rennais FC,,FRA,48.112000,-1.674300
Royal Windsor Racecourse,Horse Racing-use,,GBR,43.488300,-72.456600
Rubber Bowl,Football-use,,USA,41.153700,-81.637400
Rufaro Stadium,Dynamos FC,,ZWE,-17.817800,31.044700
Rutgers Stadium,Rutgers Scarlet Knights,,USA,40.551600,-74.463700
Ryan Field,Northwestern Wildcats,,USA,42.056200,-87.701100
Rynearson Stadium,E. Michigan Eagles,,USA,42.206100,-83.622800
Safeco Field,Seattle Mariners,,USA,47.602600,-122.328400
Salpausselkä,Lahden Hiihtoseura,,FIN,60.966700,25.666700
Saltlake Stadium,Football-use,,IND,22.569700,88.369700
Sam Boyd Stadium,UNLV Rebels,,USA,36.110000,-115.211800
Samen Stadium,Abomoslem Mashhad,,IRN,36.297000,59.606200
Sanford Stadium,Georgia Bulldogs,,USA,42.282300,-73.829400
Sang-am Stadium,FC Seoul,,KOR,37.598500,126.978300
Santa Anita Park,Horse-Racing use,,USA,32.568400,-92.884400
Santiago Bernabeu,Real Madrid CF,,ESP,40.408600,-3.692200
Sarawak Stadium,Sarawak FA,,MYS,1.550000,110.333300
Sardar Patel Stadium,Rajasthan Royals,,IND,23.033300,72.616700
Schauinsland-Reisen-Arena,MSV Duisburg,,DEU,51.433300,6.750000
Scott Stadium,Virginia Cavaliers,,USA,38.098000,-78.396600
Semple Stadium,Tipperary County,,IRL,52.681900,-7.802200
Sepang F1 Circuit,Race-use,,MYS,3.166700,101.700000
SGL Arena,FC Augsburg,,DEU,48.366700,10.883300
Shah Alam Stadium,Selangor FA,,MYS,3.083300,101.533300
Shandong Stadium,Shandong Luneng,,CHN,36.668300,116.997200
Shanghai Int'l Circuit,Race-use,,CHN,31.045600,121.399700
Shanghai Stadium,Multi-use,,CHN,31.045600,121.399700
Shenzhen Stadium,Shenzhen Yihua Jewellery,,CHN,22.533300,114.133300
Sher-e-Bangla Mirpur,Dhaka Gladiators,,BGD,23.723100,90.408600
Shiraz Stadium,Football-use,,IRN,29.603600,52.538800
Signal Iduna Park,Borussia Dortmund,,DEU,51.516700,7.450000
Silverstone Circuit,Race-use,,GBR,52.083300,-1.016700
SKA SKVO Stadion,SKA Rostov-na-Donu,,RUS,47.231300,39.723300
Skelly Field,Tulsa Golden Hurricane,,USA,36.049200,-96.071200
Skymark Stadium,Orix Buffaloes,,JPN,34.691300,135.183000
Soccer City Stadium,Kaizer Chiefs FC,,ZAF,-26.205200,28.049800
Solvalla Travbana,Horse-Racing-use,,SWE,59.333300,18.050000
Spartan Stadium,Michigan State Spartans,,USA,42.762700,-84.442700
Sports Authority Field,Denver Broncos,,USA,39.752500,-104.999500
Sports Direct Arena,Newcastle United,,GBR,-27.758000,29.931800
Spruce Meadows,Horse-jumping-use,,CAN,51.083300,-114.083300
Sree Kanteerava Stadium,HAL SC,,IND,12.983300,77.583300
St. Andrews Stadium,Birmingham City FC,,GBR,33.446800,-86.740400
St. Jakob Park,FC Basel,,CHE,47.558400,7.573300
St. Mary's Stadium,Southampton,,GBR,40.907700,-72.417800
St. Tiernach's Park,Monaghan County,,IRL,54.183300,-7.233300
Stade 19 Mai 1956,USM Annaba,,DZA,36.900000,7.766700
Stade 26 mars,National Stadium,,MLI,12.650000,-8.000000
Stade 5 Juillet 1962,MC Alger,,DZA,36.763100,3.050600
Stade Ahmed Zabana,MC Oran,,DZA,35.691100,-0.641700
Stade Chaban Delmas,FCG Bordeaux,,FRA,44.840400,-0.580500
Stade d'Agadir,Hassania Agadir,,MAR,30.400000,-9.600000
Stade d'Angondjé,National Stadium,,GAB,0.383300,9.450000
Stade d'Honneur,MC Oujda,,MAR,34.686700,-1.911400
Stade de France,National Stadium,,FRA,48.934200,2.354800
Stade de Gerland,Olympique Lyonnais,,FRA,45.748500,4.846700
Stade de l'Amitié,National Stadium,,BEN,6.350000,2.433300
Stade de l'Unité,National Stadium,,GIN,9.509200,-13.712200
Stade de la Beaujoire,FC Nantes,,FRA,47.216500,-1.552400
Stade de la Mosson,Montpellier SC,,FRA,43.610900,3.877200
Stade de la Révolution,National Stadium,,COG,-4.259200,15.284700
Stade de Suisse,BSC Young Boys,,CHE,46.916700,7.466700
Stade des Martyrs,National Stadium,,COD,-4.300000,15.300000
Stade du 4-Août,ASFA Ouagadougou,,BFA,12.370300,-1.524700
Stade El Menzah,Club Africain,,TUN,36.806100,10.171100
Stade F. Kibassa Maliba,AS New Soger,,COD,-11.666700,27.466700
Stade Félix Bollaert,RC Lens,,FRA,50.431200,2.833200
Stade Larbi Zaouli,TAS Casablanca,,MAR,33.592800,-7.619200
Stade Mohamed-Hamlaoui,CS/MO Constantine,,DZA,36.365000,6.614700
Stade Mohammed V,Raja Casablanca,,MAR,33.592800,-7.619200
Stade Moulay Abdellah,FAR Rabat,,MAR,34.013800,-6.844300
Stade Moustapha Tchaker,USM Blida,,DZA,36.468600,2.828900
Stade National,National Stadium,,MRT,18.086400,-15.975300
Stade Vélodrome,Olympique de Marseille,,FRA,43.285400,5.376100
Stadio Arechi,Salernitana Sport,,ITA,40.683300,14.783300
Stadio Artemio Franchi,ACF Fiorentina,,ITA,43.766700,11.250000
Stadio della Vittoria,Multi-use,,ITA,41.133300,16.850000
Stadio Euganeo,Calcio Padova,,ITA,45.416700,11.883300
Stadio Friuli,Udinese Calcio,,ITA,46.061900,13.242200
Stadio Luigi Ferraris,Sampdoria/Genoa,,ITA,44.416700,8.950000
Stadio M. Bentegodi,Hellas Verona/Chievo,,ITA,42.992500,-89.567900
Stadio Olimpico,AS Roma/SS Lazio,,ITA,-29.450000,27.733300
Stadio Renato dall'Ara,Bologna FC 1909,,ITA,44.483300,11.333300
Stadio Renzo Barbera,US Città di Palermo,,ITA,38.116700,13.366700
Stadio San Filippo,ACR Messina,,ITA,-22.351300,30.039600
Stadio San Nicola,AS Bari,,ITA,41.133300,16.850000
Stadio San Paolo,SSC Napoli,,ITA,40.833300,14.250000
Stadio Via del Mare,US Lecce,,ITA,40.383300,18.183300
Stadion Crvena Zvezda,FK Crvena Zvezda,,SRB,44.818600,20.468100
Stadion Dnipro,FK Dnipro,,UKR,48.463000,35.039000
Stadion Feijenoord,Feyenoord,,NLD,51.916700,4.500000
Stadion Lecha,Lech Poznan,,POL,52.416700,16.966700
Stadion Maksimir,NK Dinamo Zagreb,,HRV,45.800000,16.000000
Stadion Metalist,FK Metalist Kharkiv,,UKR,49.980800,36.252700
Stadion Miejski,Slask Wroclaw,,POL,51.100000,17.033300
Stadion NSK Olimpiyskiy,FK Dynamo Kyiv,,UKR,42.904700,133.702200
Stadion Olimpijski,Atlas Wroclaw,,POL,51.100000,17.033300
Stadion Partizana,FK Partizan,,SRB,44.818600,20.468100
Stadion Poljud,HNK Hajduk Split,,HRV,43.513900,16.455800
Stadion Puskás Ferenc,National Stadium,,HUN,47.500000,19.083300
Stadion Shakhtar,FK Metalurh Donetsk,,UKR,47.991700,37.775900
Stadionul Dan Paltinisanu,FC Politehnica,,ROM,45.749400,21.227200
Stadium Ecopa,Shimizu S-Pulse,,JPN,34.976900,138.383100
Stadium Municipal,Toulouse FC,,FRA,43.599500,1.433200
Stadium of Light,Sunderland AFC,,GBR,54.911900,-1.383300
Stadium of Singapore,National Stadium,,SGP,1.293100,103.855800
Stamford Bridge,Chelsea FC,,GBR,-24.766700,30.866700
Stanford Stadium,Stanford Cardinal,,USA,37.515900,-84.681600
Subiaco Oval,West Coast Eagles FC,,AUS,44.898300,-76.244900
Subrata Roy Sahara Stadium,Sahara Pune Warriors,,IND,18.533300,73.866700
Südweststadion,SV Südwest L'hafen,,DEU,49.481100,8.435300
Sükrü Saraçoglu Stadi,Fenerbahçe SK,,TUR,41.018600,28.964700
Sultan Qaboos Complex,National Stadium,,OMN,23.613300,58.593300
Sun Bowl,UTEP Miners,,USA,31.795800,-106.376200
Sun Devil Stadium,ASU Sun Devils,,USA,33.400100,-111.929000
Suncorp Stadium,Brisbane Broncos RLC,,AUS,37.686100,-122.410700
Surelere Stadium,Multi-use,,NGA,6.453100,3.395800
Sydney Cricket Ground,Sydney Swans FC,,AUS,46.150000,-60.166700
Sydney Football Stadium,Sydney Roosters RLC,,AUS,46.150000,-60.166700
Talladega Superspeedway,Race-use,,USA,33.378200,-86.103400
Target Field,Minnesota Twins,,USA,45.005900,-93.430500
TCF Bank Stadium,Minnesota Golden Gophers,,USA,45.005900,-93.430500
TEDA Football Stadium,Tianjin TEDA,,CHN,39.142200,117.176700
Tehelné Pole Stadion,SK Slovan Bratislava,,SVK,48.150000,17.116700
Texas Motor Speedway,Race-use,,USA,32.725700,-97.321400
The Gabba,Brisbane Lions FC,,AUS,37.686100,-122.410700
The Sevens,National Team,,ARE,25.258200,55.304700
Thoroughbred Club,Horse-Racing use,,USA,32.967200,-117.258600
Tianhe Stadium,Guangzhou Evergrande,,CHN,23.116700,113.250000
Tiburcio Carias Andino,National Stadium,,HND,14.100000,-87.216700
Tiger Stadium,LSU Tigers,,USA,30.438600,-91.170300
Tofiq Bakhramov Stadium,FK Baku,,AZE,40.395300,49.882200
Tokyo Dome,Tokyo Yomiuri Giants,,JPN,35.685000,139.751400
Tokyo Racecourse,Horse-Racing use,,JPN,35.685000,139.751400
Tomás Adolfo Ducó,CA Huracán,,ARG,-34.587500,-58.672500
Tsentralnyi Profsoyuz,FK Fakel Woronezh,,RUS,51.672000,39.184300
Tsentralnyi Stadion,FK Rubin Kazan,,RUS,55.788700,49.122100
TT Circuit Assen,Race-use,,NLD,52.994700,6.563200
Tuanku Abdul Rahman,Negeri Sembilan FA,,MYS,2.729700,101.938100
Türk Telekom Arena,Galatasaray SK,,TUR,41.018600,28.964700
Turner Field,Atlanta Braves,,USA,-25.207000,27.565500
Twickenham Stadium,National Team,,GBR,-24.766700,30.866700
U.S. Cellular Field,Chicago White Sox,,USA,41.850000,-87.650000
UB Stadium,Buffalo Bulls,,USA,42.986400,-78.727900
Universiade Memorial,Vissel Kobe,,JPN,34.691300,135.183000
Universiade Stadium,Multi-use,,CHN,22.533300,114.133300
Universidad San Marcos,Universidad San Marcos,,PER,40.798800,-84.131900
Universitário P. Pedrossian,EC Comercial,,BRA,-20.450000,-54.616700
University City Stadium,Guangzhou R&F,,CHN,23.116700,113.250000
University of Phoenix Stadium,Arizona Cardinals,,USA,34.135200,-118.241600
University Stadium,New Mexico Lobos,,USA,35.044100,-106.890400
Vanderbilt Stadium,Vanderbilt Commodores,,USA,36.147300,-86.777000
Vassil Levski Stadion,National Stadium,,BGR,42.683300,23.316700
Vaught-Hemingway Stadium,Ole Miss Rebels,,USA,34.340200,-89.483300
VCA Ground,Cricket-use,,IND,21.150000,79.100000
Veltins Arena,Schalke 04,,DEU,51.516700,7.050000
Veterans Memorial Stadium,Jackson State Tigers,,USA,32.313400,-90.172000
Vicente Calderón,Atlético de Madrid,,ESP,40.408600,-3.692200
Villa Park,Aston Villa,,GBR,33.446800,-86.740400
Vodacom Park,Free State Cheetahs,,ZAF,-29.121100,26.214000
Volkswagen Arena,VfL Wolfsburg,,DEU,52.433300,10.800000
Waldo Stadium,W. Michigan Broncos,,USA,42.354100,-85.547000
Walkers Stadium,Leicester City,,GBR,35.651300,-82.765900
Wallace Wade Stadium,Duke Blue Devils,,USA,35.889600,-78.924400
War Memorial Stadium,Arkansas Razorbacks,,USA,34.746500,-92.289600
Wembley Stadium,National Stadium,,GBR,-24.766700,30.866700
Weserstadion,Werder Bremen,,DEU,41.463100,-86.170100
Westpac Stadium,Wellington Lions RUC,,NZL,41.160900,-82.208500
White Hart Lane,Tottenham Hotspur,,GBR,-24.766700,30.866700
Wielka Krokiew,TS Wisla Zakopane,,POL,49.300000,19.966700
Wildparkstadion,Karlsruher SC,,DEU,49.004700,8.385800
Williams Brice Stadium,S. Carolina Gamecocks,,USA,39.043700,-92.271400
Wirsol Rhein-Neckar-Arena,TSG 1899 Hoffenheim,,DEU,49.255300,8.877200
Woodbine Racetrack,Horse-Racing use,,CAN,40.490300,-80.670900
Workers Stadium,Beijing Guoan,,CHN,39.928900,116.388300
Wrigley Field,Chicago Cubs,,USA,41.850000,-87.650000
Wutaisha Stadium,Nianjing Yoyo,,CHN,32.061700,118.777800
Yadegar e Emam Stadium,Football-use,,IRN,38.080000,46.291900
Yale Bowl,Yale Bulldogs,,USA,41.309400,-72.924000
Yankee Stadium,New York Yankees,,USA,40.752800,-73.972500
Yas Marina Circuit,Race-use,,ARE,24.466700,54.366700
Yellow Dragon Stadium,Hangzhou Greentown,,CHN,30.293600,120.161400
Yizhong Center,Qingdao Jonoon FC,,CHN,36.098600,120.371900
York Racecourse,Horse Racing-use,,GBR,40.002000,-76.683600
Zentralstadion,RB Leipzig,,DEU,51.300000,12.333300
